id,name,some_capitalized,atleast_one_capitalized,first_letter_capitalized,has_suffix_salutation,start_position,distance_to_period,distance_to_closest_keyword,frequency,label
4b37fe16-dd21-4bb9-9e4e-69c69898faaf,records,0,0,0,0,1215,2168,1,3,0
fe7e6276-0e95-4306-add2-611e813c67ce,related,0,0,0,0,1223,2168,1,1,0
71051c20-3ce4-4730-940b-8e231a4a3725,Clinton,0,1,1,0,1234,2168,1,8,0
8b70f759-47e7-4143-921e-a550ae37df61,grand,0,0,0,0,1244,2168,1,6,0
c473ac59-d24b-4ef5-b191-7306839da58d,jury,0,0,0,0,1250,2168,1,6,0
2ec52259-d277-48fd-9fbf-78a27a4e669f,show,0,0,0,0,1261,2168,1,1,0
2e735eae-1efa-4783-ad38-8dca92870ba2,special,0,0,0,0,1270,2168,1,1,0
2bb6da67-6692-4356-ba1b-0c46feff4fcc,counsel,0,0,0,0,1278,2168,1,2,0
fbfee036-27d7-449e-a5a3-5ea1f4828097,Robert,0,1,1,0,1286,2168,1,1,0
63475f93-2ac2-4acd-852b-5238f53b610d,Mueller,0,1,1,0,1293,2168,1,1,0
fc407726-5b74-405f-ad30-bf61d3d0dca8,may,0,0,0,0,1301,2168,1,1,0
1f9516ec-6185-48f2-a624-125162366c15,pursue,0,0,0,0,1305,2168,1,1,0
e23aa0e3-be7c-4792-8cc1-a212fb3d9813,testimony,0,0,0,0,1312,2168,1,1,0
78e82e29-f2cc-4925-b036-bb1322852dba,Trump,0,1,1,0,1327,2168,1,4,0
007d15f6-8dd7-43c4-8168-975a56b138ff,.,0,0,0,0,1332,2168,1,3,0
2b14672a-0480-4c3c-98d8-5e54a8aa936b,Clinton,0,1,1,0,1335,2168,1,8,0
0aae2afb-277d-4321-95f1-ae4a34b43163,lawyer,0,0,0,0,1345,2168,1,2,0
d8ce0d5a-99cc-444a-9fa5-9ba0646cda34,said,0,0,0,0,1352,2168,1,1,0
471c0531-e043-47ff-b3fd-9fcb8d0fe2fe,Friday,0,1,1,0,1357,2168,1,2,0
e07cb79d-e9b6-4e86-9f80-964492a59c64,client,0,0,0,0,1373,2168,1,1,0
c8dc163f-be1d-4a3a-9009-2f6c7142b78d,like,0,0,0,0,1386,2168,1,2,0
ed64eff3-31e4-46a4-a882-2307a15da14b,part,0,0,0,0,1397,2168,2108,2,0
1adb8389-b564-4692-9281-d357845714d1,unsealing,0,0,0,0,1409,2168,1,1,0
7b9e924e-8ed3-4076-a176-99d1276d0001,case,0,0,0,0,1419,2168,1,1,0
12723cd6-4044-4ac8-a6aa-28a0fa1b43e6,can,0,0,0,0,1430,2168,1,1,0
64b0813d-3501-420d-925b-3e5140ad450c,records,0,0,0,0,1467,2168,1,3,0
3fadd0fd-1492-4efe-8fb2-981ec1b7d4e9,grand,0,0,0,0,1486,2168,1,6,0
49b9b6f6-777e-4c15-9e3b-de9f9ef1e3fa,jury,0,0,0,0,1492,2168,1,6,0
bec01cb7-ac7a-4a3d-9ddf-c499dfd3cbfb,subpoena,0,0,0,0,1497,2168,2108,2,0
005eb86c-ae1d-40cb-be07-b0a8edf34448,court,0,0,0,0,1516,2168,2108,4,0
b9165349-9827-48be-b38a-0ff48ed6e1fe,complaints,0,0,0,0,1522,2168,2108,1,0
aca08c23-029f-4001-817b-36d8b3fca62e,including,0,0,0,0,1546,2168,2108,2,0
08e7e8fc-9fec-4e18-97ea-710cc860d271,grand,0,0,0,0,1558,2168,2108,6,0
88fe40e8-5482-4af1-b8d1-6dee036948c2,jury,0,0,0,0,1564,2168,2108,6,0
8eef97ca-9bfc-4c45-8ec7-cbdc612c2d0d,leak,0,0,0,0,1569,2168,2108,1,0
90300020-2dd7-4758-adef-67d1d36cd197,investigation.,0,0,0,0,1574,2168,2108,1,0
c4ed8ae8-6133-45bd-99c7-41263e6c20d1,likely,0,0,0,0,1595,2168,2108,1,0
9d2a617b-0ed8-435f-86f3-2e8b02e54b05,judge,0,0,0,0,1606,2168,2108,1,0
abfe17fb-f124-4f82-83f0-9f2e04ed4e09,will,0,0,0,0,1612,2168,2108,1,0
b4d9f28f-ce7e-4f03-b10f-d9c8e9794122,allow,0,0,0,0,1617,2168,2108,1,0
75c3b398-62a5-419b-b372-5b7c98ff200d,Clinton,0,1,1,0,1623,2168,2108,8,0
0838624a-43bc-47db-80ec-f22058aa8804,take,0,0,0,0,1634,2168,2108,1,0
402c183c-a1a1-4da9-a36e-4bed1b65e049,part,0,0,0,0,1639,2168,2108,2,0
b93335a8-d348-41ee-be69-0dfa566ce77f,given,0,0,0,0,1661,2168,2108,1,0
47b77de8-73fc-4235-a7da-9f0adb22e34a,invited,0,0,0,0,1676,2168,2108,1,0
648f4e60-607e-40cb-8e3b-9782a4d6ec0d,involved,0,0,0,0,1703,2168,2108,1,0
95d8f5cd-a9a7-4270-b562-f6c71365a9c8,original,0,0,0,0,1719,2168,2108,1,0
0a897d33-28fe-4fd2-ab2a-7061bbbb036a,subpoenas,0,0,0,0,1728,2168,2108,1,0
47b1d54a-e459-453d-9eef-024a1876a729,weigh,0,0,0,0,1741,2168,2108,3,0
c155ad21-e7cc-4ebf-8d6f-c80acfb15792,CNN,1,1,1,0,1754,2168,2108,4,0
52cb6a1f-2acc-4fa0-9975-4f24a0dc2442,Justice,0,1,1,0,1766,2168,2108,1,0
84e1b204-ce13-4ba1-95a0-c66d98657151,Department,0,1,1,0,1774,2168,2108,1,0
c886a060-f8d3-4904-a043-c01c3aab8d40,oppose,0,0,0,0,1791,2168,2108,1,0
0a917081-0149-461f-a114-86330d16939f,Clinton,0,1,1,0,1798,2168,2108,8,0
6225a389-1fb1-416d-8760-46dd03ed3233,request.,0,0,0,0,1808,2168,2108,1,0
a886d8a0-cc0e-40b6-b991-1a83b35f3225,Muller,0,1,1,0,1818,2168,2108,1,0
64ed0abc-ab66-49e2-b165-17dceedbe3db,investigating,0,0,0,0,1828,2168,2108,1,0
6e3f07f7-422a-442a-8902-9e690935cdf3,potential,0,0,0,0,1842,2168,2108,1,0
069ea2c0-4e79-4782-95ef-b13662d6766d,ties,0,0,0,0,1852,2168,2108,1,0
0e932131-f068-4b92-8a3e-8d478cd34ba8,Russia,0,1,1,0,1865,2168,2108,1,0
fb055c90-23dc-4582-8399-e753661ba70a,Trump,0,1,1,0,1876,2168,2108,4,0
023ab5df-15d0-432d-9b8f-493e0d61c782,campaign,0,0,0,0,1882,2168,2108,2,0
e8b7c854-f440-40e0-808d-8db89d2a0ada,associates,0,0,0,0,1891,2168,2108,1,0
b26b081b-cfd4-4342-ad9d-106101c3276b,election.,0,0,0,0,1918,2168,2108,1,0
3e09a224-621c-47ce-a936-2e438af37ab9,Trump,0,1,1,0,1928,2168,2108,4,0
3b94483c-7d5d-40b9-8ad8-ba99a71e6670,repeatedly,0,0,0,0,1938,2168,2108,1,0
b0290d55-a8a7-49a1-b818-81828994d1db,denied,0,0,0,0,1949,2168,2108,1,0
306af7b7-1b3c-4cea-9018-2f6d6ce8c364,collusion,0,0,0,0,1960,2168,2108,1,0
5db6e541-d7cd-4fc2-a032-b31a1df745c4,Bill Clinton,0,1,1,0,0,356,1,2,0
0c64bab2-d259-4ab8-8c07-c64a83ac9cc1,release sealed,0,0,0,0,45,356,1,1,0
2ae6a7af-2504-4370-b1d2-962dfd787044,grand jury,0,0,0,0,65,356,1,6,0
9b5162a5-90f6-4e2c-b8e2-3bf3535d35ce,jury documents,0,0,0,0,71,356,1,1,0
717c1115-7b17-4439-91a1-f443adcf4fc8,documents Updated,0,1,0,0,76,356,1,1,0
450fcc45-6a19-4d44-952f-f7318baef13f,Fri February,0,1,1,0,106,356,1,1,0
1bb3d41d-c9bb-4fac-906b-16b04467cbcc,Former President,0,1,1,0,147,356,1,1,0
1a7ff359-c809-4c77-95f9-44cf60f7db87,Bill Clinton,0,1,1,0,164,356,1,2,0
5a88479a-7117-4ba1-859b-fcc043d1b31a,federal court,0,0,0,0,184,356,1,2,0
1b297095-c2e9-4f0f-8c67-9a55523d61c3,whether sealed,0,0,0,0,238,356,1,1,0
ee789f52-d72f-4704-916e-74dbe4decb89,sealed documents,0,0,0,0,246,1464,1,1,0
f8887e3f-0837-472b-a67e-ba19de6794aa,grand jury,0,0,0,0,277,2168,1,6,0
fde96290-113d-42d7-b9a8-b118bf6feb8f,jury investigation,0,0,0,0,283,2168,1,2,0
71ca8962-f8a4-4cd3-b25c-5863bc68ecf1,public. The,0,1,0,0,328,2168,1,1,0
709e49f6-1e7d-4263-8aa7-2e0a66643070, Clinton,0,1,0,0,355,2168,1,6,1
7ab968aa-ec91-40e4-ba3f-0f9525c793fc,longtime criminal,0,0,0,0,365,2168,2108,1,0
1e7cf479-5ce8-454d-9775-f4a2dfd043e3,criminal defense,0,0,0,0,374,2168,1,1,0
ba86628c-cb18-4c0f-af86-8eebb44962b9,defense lawyer,0,0,0,0,383,2168,1,1,0
41d540f6-9819-4157-ac63-25dbbc1befb4,David Kendall,0,1,1,0,398,2168,1,1,0
e287bc3f-6bd2-4c7c-a625-43f65b220d7d,CNN asking,1,1,1,0,434,2168,1,1,0
5cf7b494-52bc-4db9-88d3-ffac99aee812,unseal records,0,0,0,0,458,2168,1,1,0
e5059a45-4ace-49da-9c69-66beec612d45,subpoena fights,0,0,0,0,476,2168,1,1,0
3896cb8d-72a5-473a-86ee-3172f63e269a,Monica Lewinsky,0,1,1,0,543,2168,1,1,0
097833d3-cb27-4e72-9641-ead19370e315,. CNN,1,1,0,0,558,2168,1,2,0
5d19471f-05a0-4aa1-8e4a-049e90acd4f4,CNN previously,1,1,1,0,561,2168,1,1,0
007faaf4-bf20-463d-9185-1fab299975ce,previously reported,0,0,0,0,565,2168,1,1,0
aa6c96e0-8411-42bb-9c3d-44db918c8059,federal court,0,0,0,0,592,2168,1,2,0
357aefef-1820-40de-bfda-f8563161bc00,unseal documents,0,0,0,0,626,2168,1,1,0
de23c661-9a50-4596-a31f-3e8b3d11c47f,stayed secret,0,0,0,0,653,2168,1,1,0
d99eb61f-60c5-42ad-b4e3-556f419dd695,two decades,0,0,0,0,671,2168,1,1,0
2b7603c8-2be1-454d-a343-25e5e441b47b,independent counsel,0,0,0,0,688,2168,1,1,0
1fa109b1-f3bb-4bca-998f-38da31c56a68,Ken Starr,0,1,1,0,708,2168,1,1,0
538b9dd2-9acd-4c6e-92f6-1297427ea26f, Clinton,0,1,0,0,737,2168,1,6,1
d57a1f7a-a0fc-4cbb-860c-99e509a66bce,CNN. Some,1,1,1,0,771,2168,1,1,0
f2a82f5c-08e1-4ca5-bc05-487878489bbb,several top,0,0,0,0,822,2168,1,1,0
55411530-d227-4ffe-995a-0f08ee55e805,top White,0,1,0,0,830,2168,1,1,0
36ffa2e3-8ed8-4da5-b972-d25419901c2a,White House,0,1,1,0,834,2168,1,1,0
3462c34b-0c71-4b03-83bc-82064237596e, Starr,0,1,0,0,964,2168,1,1,1
808298de-46d3-42a1-8028-a9805134cb86,Congress. But,0,1,1,0,982,2168,1,1,0
97fe83a0-ddb8-476c-ab54-ac5d5555354f,But many,0,1,1,0,992,2168,1,1,0
765e25db-5809-404d-bbdc-88fdaf681a42,filings remained,0,0,0,0,1008,2168,1,1,0
35f54030-e1a3-4a2a-9c27-704a4a6963ab,remained sealed,0,0,0,0,1016,2168,1,1,0
934ae3c7-6732-4627-91eb-24f7202d2c23,currently hosts,0,0,0,0,1084,2168,1,1,0
17bbaafb-f8fb-43e3-9cbd-25953736d201,sprawling grand,0,0,0,0,1114,2168,1,1,0
35768326-ad9e-460b-876f-078155ecc246,grand jury,0,0,0,0,1124,2168,1,6,0
a5dc8881-113a-4171-bfeb-78f144342f2b,jury investigation,0,0,0,0,1130,2168,1,2,0
6a038448-fab3-4b80-894a-a15371d7d967,Donald Trump,0,1,1,0,1180,2168,1,1,0
a4bc5da3-823a-47b0-9dbd-8e74e22ea178,. CNN,1,1,0,0,1192,2168,1,2,0
3765be73-3469-4b55-8e5a-b658321cb2d9,CNN argued,1,1,1,0,1195,2168,1,1,0
041f9132-7477-4521-980a-68d5cf83f189,records related,0,0,0,0,1215,2168,1,1,0
39bcaf2d-9705-48b0-97fe-dd66d0bcb33d, Clinton,0,1,0,0,1234,2168,1,6,1
ad354b4e-8ece-476b-b9ff-47b3eab25704,grand jury,0,0,0,0,1244,2168,1,6,0
6e09bf15-e759-4273-bef8-1c5e71e9fbde,special counsel,0,0,0,0,1270,2168,1,1,0
56079a95-5625-430a-8f7e-3a8752c22331,Robert Mueller,0,1,1,0,1286,2168,1,1,0
7e8f963f-7adb-4acb-a2d4-19989b27de73,may pursue,0,0,0,0,1301,2168,1,1,0
05d2c713-4c18-40c0-9a1e-ff0fd77296e9,pursue testimony,0,0,0,0,1305,2168,1,1,0
aaeb0123-2d88-4750-9656-844f34ca225a, Trump,0,1,0,0,1327,2168,1,2,1
9ed2f99f-1979-420f-b895-4cfb65435b5f, Clinton,0,1,0,0,1335,2168,1,6,1
4138c8c4-06d7-4e0a-a9c1-486672804870,lawyer said,0,0,0,0,1345,2168,1,1,0
c3615948-0337-4e4f-a517-b416823d95fa,said Friday,0,1,0,0,1352,2168,1,1,0
4d4215df-6e18-46a9-8147-8c399351f8d8,unsealing case,0,0,0,0,1409,2168,1,1,0
384567e9-56f7-4773-ae60-dad8b6f869a8,grand jury,0,0,0,0,1486,2168,1,6,0
7fa57a8a-942b-47f1-947a-94df80532bb5,jury subpoena,0,0,0,0,1492,2168,1,1,0
86903c5b-bdd1-4d90-938f-dff56630480d,court complaints,0,0,0,0,1516,2168,2108,1,0
ae7a2348-3e0f-49ee-beac-68170c849732,grand jury,0,0,0,0,1558,2168,2108,6,0
c63b1f4b-c799-4ff3-a699-2647b9804e13,jury leak,0,0,0,0,1564,2168,2108,1,0
802dfda3-b07b-4e1d-b067-38b0f8c0b3cc,leak investigation.,0,0,0,0,1569,2168,2108,1,0
71b2c014-0ff4-4ca6-8e29-3031bc3f785c,judge will,0,0,0,0,1606,2168,2108,1,0
281bc8b3-911d-428a-952b-c498fcac0aea,will allow,0,0,0,0,1612,2168,2108,1,0
f16886f0-9470-45a3-a0d7-048aab0fe5b9, Clinton,0,1,0,0,1623,2168,2108,6,1
856751cc-83d6-44ac-b363-630ae0fec863,take part,0,0,0,0,1634,2168,2108,1,0
e7913ce1-51cf-452c-9283-5615e8401e45,original subpoenas,0,0,0,0,1719,2168,2108,1,0
98c47189-1852-40c1-9609-7775affb018e,Justice Department,0,1,1,0,1766,2168,2108,1,0
609f4cb5-4378-4b7c-b041-664009cba2ee, Clinton,0,1,0,0,1798,2168,2108,6,1
76cba470-7778-4bca-9de4-30aa95791cc4, Muller,0,1,0,0,1818,2168,2108,1,1
4579f1fc-a758-4717-93d9-c7945fc13a8a,investigating potential,0,0,0,0,1828,2168,2108,1,0
e0fc0d3f-dda1-41c8-92de-04e53f2201b6,potential ties,0,0,0,0,1842,2168,2108,1,0
08887b3f-1198-42f6-a161-652ae2d9662e,Trump campaign,0,1,1,0,1876,2168,2108,1,0
8b3b1aaa-9f81-4a6f-bf37-371730c40898,campaign associates,0,0,0,0,1882,2168,2108,1,0
19ba3b43-fb56-4c36-ad78-c4f2d1313875, Trump,0,1,0,0,1928,2168,2108,2,1
62d7462b-fe37-46df-bb1e-a685d22410c8,repeatedly denied,0,0,0,0,1938,2168,2108,1,0
91d881f6-3094-4f6a-bf08-09786faa3f1e, Bill Clinton,0,1,0,0,0,356,1,2,1
48fa9196-2048-4323-be4c-53c2a621ef34,grand jury documents,0,0,0,0,65,356,1,1,0
249f8b1c-20ca-4a41-8508-c4861231a83f,jury documents Updated,0,1,0,0,71,356,1,1,0
4010c6ef-9e63-44b1-b18a-bfb7631e1e36, Bill Clinton,0,1,0,0,164,356,179,2,1
9856e106-e1b9-472d-8869-cc7c9cb0ac4c,whether sealed documents,0,0,0,0,238,1464,1,1,0
03e41c7d-d16d-4d18-b1bd-2508092a29e4,grand jury investigation,0,0,0,0,277,2168,1,2,0
cb374ed9-3d5c-4d68-b739-3b7ff1692ccb,longtime criminal defense,0,0,0,0,365,2168,1,1,0
38c574a8-a99b-4ff3-b652-f1820f411d34,criminal defense lawyer,0,0,0,0,374,2168,1,1,0
029c3e10-ab81-449b-a623-b7264176a021, David Kendall,0,1,0,0,398,2168,1,1,1
a1532833-47d5-44f9-b856-7c48b9d804da, Monica Lewinsky,0,1,0,0,543,2168,1,1,1
963936f7-7785-4444-bab7-94c5d4e42424,. CNN previously,1,1,0,0,558,2168,1,1,0
7876babb-8c39-4bbd-8166-40f4ec9f1bd1,CNN previously reported,1,1,1,0,561,2168,1,1,0
