,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genre,ltable_Score,ltable_Release Date,ltable_Rating,ltable_Directed By,ltable_Written By,ltable_Studio,rtable_Title,rtable_Genre,rtable_Score,rtable_Release Date,rtable_Rating,rtable_Directed By,rtable_Written By,rtable_Studio,label
13474,13474,A_0124,B_1332,The Originals,Fantasy,83,1900-1-1,TV-14,,Julie Plec,Bonanza Productions,The Inhabitants,Thriller,60,1900-1-1,NOT RATED,Michael Rasmussen (III),Michael Rasmussen (III),,0
14207,14207,A_0129,B_1102,Psych,Comedy,84,1900-1-1,TV-PG,,Steve Franks,GEP Productions,,,0,1900-1-1,NOT RATED,,,,0
14776,14776,A_0134,B_1102,House M.D.,Drama,88,1900-1-1,TV-14,,David Shore,Heel & Toe Films,,,0,1900-1-1,NOT RATED,,,,0
16533,16533,A_0153,B_1390,Outlander,Fantasy,85,1900-1-1,TV-MA,,Ronald D. Moore,Tall Ship Productions,Unbranded,Documentary,73,1900-1-1,PG-13,Phillip Baribeau,,Gravitas Ventures,0
17215,17215,A_0164,B_0180,Bright,Fantasy,64,2017-12-22,TV-MA,David Ayer,Max Landis,Clubhouse Pictures (II),Bright,Drama,27,2017-12-22,NOT RATED,David Ayer,Max Landis,Netflix,1
17338,17338,A_0167,B_1559,The Walking Dead,Thriller,84,1900-1-1,TV-MA,,Frank Darabont,American Movie Classics (AMC),The Turning,Drama,85,1900-1-1,NOT RATED,Tony Ayres,Andrew Upton,Madman Entertainment,0
17867,17867,A_0179,B_0395,The Terror,Drama,93,1900-1-1,NOT RATED,,David Kajganich,EMJAG Productions,The Sea,Drama,47,1900-1-1,NOT RATED,Stephen Brown,John Banville,,0
17949,17949,A_0179,B_1559,The Terror,Drama,93,1900-1-1,NOT RATED,,David Kajganich,EMJAG Productions,The Turning,Drama,85,1900-1-1,NOT RATED,Tony Ayres,Andrew Upton,Madman Entertainment,0
19052,19052,A_0202,B_0395,The Simpsons,Comedy,88,1900-1-1,TV-14,,James L. Brooks,Gracie Films,The Sea,Drama,47,1900-1-1,NOT RATED,Stephen Brown,John Banville,,0
19134,19134,A_0202,B_1559,The Simpsons,Comedy,88,1900-1-1,TV-14,,James L. Brooks,Gracie Films,The Turning,Drama,85,1900-1-1,NOT RATED,Tony Ayres,Andrew Upton,Madman Entertainment,0
19398,19398,A_0205,B_1054,Zootopia,Comedy,80,2016-03-04,PG,Byron Howard,Byron Howard,Walt Disney Pictures,Zootopia,Comedy,98,2016-03-04,PG,Byron Howard,Jared Bush,Walt Disney Animation Studios,1
20193,20193,A_0217,B_1398,Inside Out,Comedy,82,2015-06-19,PG,Pete Docter,Pete Docter,Pixar Animation Studios,Inside Out,Animation,98,2015-06-19,PG,Pete Docter,Meg LeFauve,Disney/Pixar,1
21379,21379,A_0236,B_0034,The Star,Comedy,58,2017-11-17,PG,Timothy Reckart,Carlos Kotkin,Affirm Films,The Star,Comedy,45,2017-11-17,PG,Timothy Reckart,Simon Moore,,1
21650,21650,A_0238,B_1038,This Is Us,Drama,88,1900-1-1,TV-14,,Dan Fogelman,Rhode Island Ave. Productions,The Steps,Drama,33,1900-1-1,NOT RATED,Andrew Currie,Robyn Harding,,0
21762,21762,A_0239,B_0038,"Three Billboards Outside Ebbing, Missouri",Drama,82,2017-12-01,R,Martin McDonagh,Martin McDonagh,Blueprint Pictures,"Three Billboards Outside Ebbing, Missouri",Drama,92,2017-12-01,R,Martin McDonagh,Martin McDonagh,Fox Searchlight Pictures,1
22336,22336,A_0244,B_1451,Call Me by Your Name,Drama,80,2018-01-19,R,Luca Guadagnino,James Ivory,Frenesy Film Company,Call Me Lucky,Documentary,85,2015-08-07,NOT RATED,Bobcat Goldthwait,Bobcat Goldthwait,MPI Media Group,0
22337,22337,A_0245,B_0523,The Theory of Everything,Documentary,77,2014-11-26,PG-13,James Marsh,Anthony McCarten,Working Title Films,A Fantastic Fear of Everything,Film-Noir,31,2014-02-07,R,Crispian Mills,Crispian Mills,Cinedigm Entertainment,0
22422,22422,A_0246,B_1102,Seven Seconds,Drama,77,1900-1-1,TV-MA,,Veena Sud,East 2 West Entertainment,,,0,1900-1-1,NOT RATED,,,,0
22609,22609,A_0247,B_1102,Peaky Blinders,Drama,88,1900-1-1,TV-MA,,Steven Knight,Caryn Mandabach Productions,,,0,1900-1-1,NOT RATED,,,,0
23763,23763,A_0255,B_1332,The Irishman,Documentary,0,1900-1-1,NOT RATED,Martin Scorsese,Charles Brandt,F�brica de Cine,The Inhabitants,Thriller,60,1900-1-1,NOT RATED,Michael Rasmussen (III),Michael Rasmussen (III),,0
25198,25198,A_0268,B_0462,Power Rangers,Sci-Fi,60,2017-03-24,PG-13,Dean Israelite,John Gatins,Lionsgate,Saban's Power Rangers,Drama,45,2017-03-24,PG-13,Dean Israelite,John Gatins,Lionsgate Films,0
25607,25607,A_0278,B_1337,Mission: Impossible - Fallout,Thriller,0,2018-07-27,NOT RATED,Christopher McQuarrie,Bruce Geller,Bad Robot,Mission: Impossible Rogue Nation,Adventure,93,2015-07-31,PG-13,Christopher McQuarrie,Christopher McQuarrie,Paramount Pictures,0
27063,27063,A_0291,B_1102,The Last Man on Earth,Comedy,74,1900-1-1,TV-14,,Will Forte,"Si Fi Company, The",,,0,1900-1-1,NOT RATED,,,,0
27091,27091,A_0291,B_1529,The Last Man on Earth,Comedy,74,1900-1-1,TV-14,,Will Forte,"Si Fi Company, The",The Last Impresario,Documentary,93,1900-1-1,NOT RATED,Gracie Otto,Gracie Otto,FilmBuff,0
28314,28314,A_0300,B_0110,The Square,Comedy,74,2017-08-25,R,Ruben �stlund,Ruben �stlund,Plattform Produktion,The Square,Drama,84,2017-10-27,R,Ruben Ãâstlund,Ruben Ãâstlund,Magnolia Pictures,1
28678,28678,A_0302,B_2592,The Middle,Comedy,75,1900-1-1,TV-PG,,Eileen Heisler,Blackie and Blondie Productions,The Patrol,Drama,64,1900-1-1,NOT RATED,Tom Petch,Tom Petch,Kasbah-Film Tanger,0
29375,29375,A_0307,B_1559,The Orville,Comedy,79,1900-1-1,TV-14,,Seth MacFarlane,Fuzzy Door Productions,The Turning,Drama,85,1900-1-1,NOT RATED,Tony Ayres,Andrew Upton,Madman Entertainment,0
30492,30492,A_0317,B_1102,Silicon Valley,Comedy,86,1900-1-1,TV-MA,,John Altschuler,3 Arts Entertainment,,,0,1900-1-1,NOT RATED,,,,0
30873,30873,A_0320,B_1102,Schitt's Creek,Comedy,79,1900-1-1,TV-14,,Dan Levy,Canadian Broadcasting Corporation (CBC),,,0,1900-1-1,NOT RATED,,,,0
32019,32019,A_0327,B_1332,The Expanse,Sci-Fi,83,1900-1-1,TV-14,,Mark Fergus,Alcon Entertainment,The Inhabitants,Thriller,60,1900-1-1,NOT RATED,Michael Rasmussen (III),Michael Rasmussen (III),,0
33984,33984,A_0338,B_0138,The Killing of a Sacred Deer,Drama,71,2017-11-03,R,Yorgos Lanthimos,Yorgos Lanthimos,Element Pictures,The Killing of a Sacred Deer,Drama,79,2017-10-20,R,Yorgos Lanthimos,Yorgos Lanthimos,A24,1
34098,34098,A_0339,B_1535,The Sinner,Drama,80,1900-1-1,TV-14,,Derek Simonds,Iron Ocean Films,The Editor,Horror,55,1900-1-1,NOT RATED,Adam Brooks,,,0
34858,34858,A_0345,B_1332,The Mentalist,Drama,81,1900-1-1,TV-14,,Bruno Heller,Primrose Hill Productions,The Inhabitants,Thriller,60,1900-1-1,NOT RATED,Michael Rasmussen (III),Michael Rasmussen (III),,0
35140,35140,A_0348,B_0239,Atomic Blonde,Thriller,67,2017-07-28,R,David Leitch,Kurt Johnstad,87Eleven,Atomic Blonde,Drama,77,2017-07-28,R,David Leitch,Kurt Johnstad,Focus Features,1
36210,36210,A_0361,B_1102,Imposters,Comedy,78,1900-1-1,TV-14,,Paul Adelstein,,,,0,1900-1-1,NOT RATED,,,,0
36545,36545,A_0363,B_0577,Travelers,Sci-Fi,81,1900-1-1,TV-MA,,Brad Wright,Peacock Alley Entertainment,Tramps,Comedy,95,1900-1-1,NOT RATED,Adam Leon,Adam Leon,,0
36935,36935,A_0366,B_0583,Smallville,Drama,75,1900-1-1,TV-PG,,Alfred Gough,Tollin,Small Crimes,Drama,62,1900-1-1,NOT RATED,E.L. Katz,E.L. Katz,,0
37080,37080,A_0367,B_0128,Blade Runner,Thriller,82,1982-06-25,R,Ridley Scott,Hampton Fancher,"Ladd Company, The",Blade Runner 2049,Drama,87,2017-10-06,R,Denis Villeneuve,Michael Green,Warner Bros. Pictures,0
37323,37323,A_0370,B_0595,The Defenders,Action,76,1900-1-1,TV-MA,,Douglas Petrie,ABC Studios,The Discovery,Drama,45,1900-1-1,NOT RATED,Charlie McDowell,Charlie McDowell,,0
37357,37357,A_0370,B_1038,The Defenders,Action,76,1900-1-1,TV-MA,,Douglas Petrie,ABC Studios,The Steps,Drama,33,1900-1-1,NOT RATED,Andrew Currie,Robyn Harding,,0
38722,38722,A_0393,B_0328,Shadowhunters: The Mortal Instruments,Fantasy,65,1900-1-1,TV-14,,Ed Decter,Constantin Film,Haunters: The Art of the Scare,Horror,100,1900-1-1,NOT RATED,Jon Schnitzer,Jon Schnitzer,,0
38994,38994,A_0400,B_1102,Titans,Fantasy,0,1900-1-1,NOT RATED,,Greg Berlanti,Berlanti Productions,,,0,1900-1-1,NOT RATED,,,,0
39565,39565,A_0408,B_1102,Siren,Fantasy,0,1900-1-1,TV-PG,,Emily Whitesell,,,,0,1900-1-1,NOT RATED,,,,0
40708,40708,A_0431,B_1459,What We Do in the Shadows,Comedy,76,2015-02-13,R,Jemaine Clement,Jemaine Clement,Unison Films,What We Did on Our Holiday,Comedy,73,2015-07-10,PG-13,Andy Hamilton,Andy Hamilton,Lionsgate Films,0
40723,40723,A_0432,B_0473,Life,Thriller,66,2017-03-24,R,Daniel Espinosa,Rhett Reese,Columbia Pictures,Life,Drama,67,2017-03-24,R,Daniel Espinosa,Paul Wernick,Skydance Films,1
42011,42011,A_0472,B_1925,Big Hero 6,Adventure,78,2014-11-07,PG,Don Hall,Jordan Roberts,FortyFour Studios,Big Hero 6,Animation,89,2014-11-07,PG,Chris Williams (IX),Jordan Roberts,Walt Disney Pictures,1
42176,42176,A_0473,B_2244,The Legend of Korra,Adventure,86,1900-1-1,TV-Y7-FV,,Michael Dante DiMartino,Ginormous Madman,Supermensch: The Legend of Shep Gordon,Documentary,77,2014-06-06,R,Mike Myers,,Radius-TWC,0
42361,42361,A_0479,B_2069,Voltron,Sci-Fi,83,1900-1-1,TV-Y7,,,DreamWorks Animation Television,Viktor,Thriller,0,1900-1-1,NOT RATED,Philippe Martinez,Philippe Martinez,Inception Media Group,0
42409,42409,A_0480,B_2176,Hercules,Comedy,73,1997-06-27,G,Ron Clements,Ron Clements,Walt Disney Pictures,Hercules,Sci-Fi,59,2014-07-25,PG-13,Brett Ratner,Ryan Condal,Paramount Pictures,1
43004,43004,A_0492,B_1303,Hotel Transylvania 3: Summer Vacation,Comedy,0,2018-07-13,NOT RATED,Genndy Tartakovsky,Michael McCullers,Columbia Pictures,Hotel Transylvania 2,Animation,55,2015-09-25,PG,Genndy Tartakovsky,Robert Smigel,Sony Pictures,0
43363,43363,A_0500,B_2373,The Loud House,Comedy,77,1900-1-1,TV-Y7,,Chris Savino,Chris Savino Productions,The Normal Heart,Drama,94,1900-1-1,R,Ryan Murphy,Larry Kramer,HBO Films,0
43387,43387,A_0500,B_2819,The Loud House,Comedy,77,1900-1-1,TV-Y7,,Chris Savino,Chris Savino Productions,The Sound Of Music Live!,Musical,44,1900-1-1,NOT RATED,,,,0
44689,44689,A_0516,B_1559,The Crown,Drama,87,1900-1-1,TV-MA,,Peter Morgan,Left Bank Pictures,The Turning,Drama,85,1900-1-1,NOT RATED,Tony Ayres,Andrew Upton,Madman Entertainment,0
44740,44740,A_0516,B_2592,The Crown,Drama,87,1900-1-1,TV-MA,,Peter Morgan,Left Bank Pictures,The Patrol,Drama,64,1900-1-1,NOT RATED,Tom Petch,Tom Petch,Kasbah-Film Tanger,0
45030,45030,A_0518,B_1102,The Looming Tower,Drama,76,1900-1-1,TV-MA,,Dan Futterman,Legendary Television,,,0,1900-1-1,NOT RATED,,,,0
45927,45927,A_0528,B_0165,The Wire,Drama,93,1900-1-1,TV-MA,,David Simon,Blown Deadline Productions,Shock Wave,Film-Noir,83,1900-1-1,NOT RATED,,Herman Yau,,0
45971,45971,A_0528,B_0830,The Wire,Drama,93,1900-1-1,TV-MA,,David Simon,Blown Deadline Productions,The Ivory Game,Documentary,80,1900-1-1,NOT RATED,Richard Ladkani,,,0
45981,45981,A_0528,B_0925,The Wire,Drama,93,1900-1-1,TV-MA,,David Simon,Blown Deadline Productions,The White Helmets,Documentary,100,1900-1-1,NOT RATED,Orlando Von Einsiedel,,,0
45991,45991,A_0528,B_1038,The Wire,Drama,93,1900-1-1,TV-MA,,David Simon,Blown Deadline Productions,The Steps,Drama,33,1900-1-1,NOT RATED,Andrew Currie,Robyn Harding,,0
46027,46027,A_0528,B_1559,The Wire,Drama,93,1900-1-1,TV-MA,,David Simon,Blown Deadline Productions,The Turning,Drama,85,1900-1-1,NOT RATED,Tony Ayres,Andrew Upton,Madman Entertainment,0
47042,47042,A_0536,B_0526,Fifty Shades of Grey,Drama,41,2015-02-13,R,Sam Taylor-Johnson,Kelly Marcel,Focus Features,Fifty Shades Darker,Drama,10,2017-02-10,R,James Foley,Niall Leonard,Universal Pictures,0
47133,47133,A_0537,B_1102,Justified,Drama,86,1900-1-1,TV-MA,,Graham Yost,FX Productions,,,0,1900-1-1,NOT RATED,,,,0
47918,47918,A_0546,B_1102,Runaways,Drama,74,1900-1-1,TV-14,,Stephanie Savage,ABC Studios,,,0,1900-1-1,NOT RATED,,,,0
48425,48425,A_0551,B_0209,The Hitman's Bodyguard,Thriller,69,2017-08-18,R,Patrick Hughes,Tom O'Connor,Bodyguard Productions,The Hitman's Bodyguard,Adventure,40,2017-08-18,R,Patrick Hughes,Tom O'Connor,Summit Entertainment,1
48441,48441,A_0555,B_0365,7 Guardians of the Tomb,Action,49,2018-02-23,TV-MA,Kimble Rendall,Gary Hamilton,Nest Holdings,Guardians of the Galaxy Vol. 2,Action,83,2017-05-05,PG-13,James Gunn (II),James Gunn (II),Walt Disney Pictures,0
49120,49120,A_0562,B_1547,Frasier,Comedy,80,1900-1-1,TV-PG,,David Angell,Grub Street Productions,Bessie,Drama,89,1900-1-1,R,Dee Rees,Dee Rees,,0
49199,49199,A_0563,B_0088,The Ranch,Comedy,77,1900-1-1,TV-MA,,Jim Patterson,Ranch Hand Productions,The Ritual,Film-Noir,71,1900-1-1,NOT RATED,David Bruckner,Adam Nevill,,0
49383,49383,A_0565,B_1494,Pitch Perfect,Comedy,72,2012-10-05,PG-13,Jason Moore,Kay Cannon,Brownstone Productions (II),Pitch Perfect 2,Comedy,65,2015-05-15,PG-13,Elizabeth Banks,Mickey Rapkin,Universal Pictures,0
52233,52233,A_0587,B_0820,A Bad Moms Christmas,Comedy,55,2017-11-01,R,Jon Lucas,Jon Lucas,Huayi Brothers Media,Bad Moms,Comedy,58,2016-07-29,R,Jon Lucas,Jon Lucas,Block Entertainment,0
52776,52776,A_0590,B_2656,Sex and the City,Comedy,70,1900-1-1,TV-MA,,Darren Star,Darren Star Productions,Flowers in the Attic,Drama,52,1900-1-1,NOT RATED,Deborah Chow,Kayla Alpert,,0
52795,52795,A_0591,B_1149,The Hateful Eight,Drama,78,2015-12-30,R,Quentin Tarantino,Quentin Tarantino,Visiona Romantica,The Hateful Eight,Western,75,2015-12-30,R,Quentin Tarantino,Quentin Tarantino,The Weinstein Company,1
55015,55015,A_0618,B_0595,The Leftovers,Fantasy,82,1900-1-1,TV-MA,,Damon Lindelof,Film 44,The Discovery,Drama,45,1900-1-1,NOT RATED,Charlie McDowell,Charlie McDowell,,0
55990,55990,A_0627,B_1102,Revenge,Drama,79,1900-1-1,TV-PG,,Mike Kelley,Page Fright,,,0,1900-1-1,NOT RATED,,,,0
56100,56100,A_0628,B_2696,The Hunger Games,Sci-Fi,72,2012-03-23,PG-13,Gary Ross,Gary Ross,Lionsgate,The Hunger Games: Catching Fire,Sci-Fi,89,2013-11-22,PG-13,Francis Lawrence,Simon Beaufoy,Lionsgate Films,0
57133,57133,A_0652,B_1057,Gods of Egypt,Fantasy,54,2016-02-26,PG-13,Alex Proyas,Matt Sazama,Pyramania,Gods Of Egypt,Sci-Fi,15,2016-02-26,PG-13,Alex Proyas,Burk Sharpless,Lionsgate,1
57551,57551,A_0670,B_0330,The Legend of Tarzan,Drama,63,2016-07-01,PG-13,David Yates,Adam Cozad,Village Roadshow Pictures,The Legend Of 420,Documentary,100,2017-10-06,NOT RATED,Peter Spirer,Peter Spirer,,0
57563,57563,A_0670,B_1435,The Legend of Tarzan,Drama,63,2016-07-01,PG-13,David Yates,Adam Cozad,Village Roadshow Pictures,Drug Lord: The Legend Of Shorty,Documentary,63,2014-03-01,NOT RATED,Angus MacQueen,Angus MacQueen,,0
57566,57566,A_0670,B_2410,The Legend of Tarzan,Drama,63,2016-07-01,PG-13,David Yates,Adam Cozad,Village Roadshow Pictures,The Legend of Billie Jean1985,Drama,40,1985-07-19,PG-13,Matthew Robbins,Mark Rosenthal,,0
57581,57581,A_0675,B_0331,The Mummy,Fantasy,70,1999-05-07,PG-13,Stephen Sommers,Stephen Sommers,Universal Pictures,The Mummy,Drama,16,2017-06-09,PG-13,Alex Kurtzman,David Koepp,Universal,1
58236,58236,A_0701,B_1804,The Girl Next Door,Drama,67,2008-10-17,R,Gregory Wilson,Daniel Farrands,Moderncin�,The Boy Next Door,Thriller,10,2015-01-23,R,Rob Cohen,Barbara Curry,Universal Pictures,0
58883,58883,A_0717,B_0493,Beauty and the Beast,Drama,72,1900-1-1,TV-14,,Sherri Cooper-Landsman,Take 5 Productions,Beauty and the Beast,Sci-Fi,71,2017-03-17,PG,Bill Condon,Evan Spiliotopoulos,Walt Disney Pictures,1
59089,59089,A_0723,B_0421,Haven,Fantasy,76,1900-1-1,NOT RATED,,Jim Dunn,Entertainment One,Naked,Comedy,0,1900-1-1,NOT RATED,Michael Tiddes,Marlon Wayans,,0
59338,59338,A_0726,B_1102,Young Justice,Adventure,87,1900-1-1,TV-PG,,Bob Kane,DC Comics,,,0,1900-1-1,NOT RATED,,,,0
59741,59741,A_0731,B_1102,Fairy Tail,Adventure,81,1900-1-1,TV-14,,Hiro Mashima,Pony Canyon,,,0,1900-1-1,NOT RATED,,,,0
60246,60246,A_0735,B_0608,The Book of Life,Comedy,73,2014-10-17,PG,Jorge R. Guti�rrez,Jorge R. Guti�rrez,Reel FX Creative Studios,The Book Of Love,Drama,8,2017-01-13,PG-13,Bill Purple,Robbie Pickering,,0
61683,61683,A_0754,B_1102,The Fairly OddParents,Comedy,72,1900-1-1,TV-PG,,Butch Hartman,Billionfold,,,0,1900-1-1,NOT RATED,,,,0
62180,62180,A_0765,B_2978,Monsters University,Comedy,73,2013-06-21,G,Dan Scanlon,Dan Scanlon,Walt Disney Pictures,Monsters University,Action,79,2013-06-21,G,Dan Scanlon,Daniel Gerson,Walt Disney Pictures,1
62448,62448,A_0768,B_1102,Avengers Assemble,Adventure,71,1900-1-1,TV-Y7,,Jack Kirby,Man of Action,,,0,1900-1-1,NOT RATED,,,,0
63123,63123,A_0773,B_0754,Storks,Comedy,68,2016-09-23,PG,Nicholas Stoller,Nicholas Stoller,RatPac-Dune Entertainment,Storks,Animation,63,2016-09-23,PG,Nicholas Stoller,Nicholas Stoller,Warner Bros. Pictures,1
63323,63323,A_0776,B_0088,The Fosters,Drama,79,1900-1-1,TV-14,,Bradley Bredeweg,Blazing Elm Entertainment,The Ritual,Film-Noir,71,1900-1-1,NOT RATED,David Bruckner,Adam Nevill,,0
63386,63386,A_0776,B_0925,The Fosters,Drama,79,1900-1-1,TV-14,,Bradley Bredeweg,Blazing Elm Entertainment,The White Helmets,Documentary,100,1900-1-1,NOT RATED,Orlando Von Einsiedel,,,0
63651,63651,A_0778,B_2211,Call the Midwife,Drama,84,1900-1-1,TV-PG,,Heidi Thomas,Neal Street Productions,LFO: The Movie,Drama,100,1900-1-1,NOT RATED,Antonio Tublen,Antonio Tublen,Dark Sky Films,0
63912,63912,A_0781,B_0293,House of Cards,Drama,89,1900-1-1,TV-MA,,Beau Willimon,Media Rights Capital (MRC),One of Us,Documentary,95,1900-1-1,NOT RATED,,,,0
64731,64731,A_0787,B_1102,Hap and Leonard,Drama,75,1900-1-1,TV-MA,,Nick Damici,Nightshade,,,0,1900-1-1,NOT RATED,,,,0
65265,65265,A_0799,B_0030,The Tick,Comedy,74,1900-1-1,TV-MA,,Ben Edlund,Amazon Studios,The Outsider,Drama,22,1900-1-1,NOT RATED,Martin Zandvliet,Andrew Baldwin,,0
65378,65378,A_0799,B_1559,The Tick,Comedy,74,1900-1-1,TV-MA,,Ben Edlund,Amazon Studios,The Turning,Drama,85,1900-1-1,NOT RATED,Tony Ayres,Andrew Upton,Madman Entertainment,0
65465,65465,A_0802,B_0399,Snatched,Comedy,44,2017-05-12,R,Jonathan Levine,Katie Dippold,Chernin Entertainment,Snatched,Adventure,36,2017-05-12,R,Jonathan Levine,Katie Dippold,20th Century Fox,1
65629,65629,A_0803,B_2373,The Brave,Thriller,75,1900-1-1,TV-14,,Dean Georgaris,Dune Films,The Normal Heart,Drama,94,1900-1-1,R,Ryan Murphy,Larry Kramer,HBO Films,0
65940,65940,A_0807,B_1102,Shooter,Drama,76,1900-1-1,TV-14,,John Hlavin,Closest to the Hole Productions,,,0,1900-1-1,NOT RATED,,,,0
68043,68043,A_0827,B_1102,Hart of Dixie,Comedy,78,1900-1-1,TV-PG,,Leila Gerstein,Fake Empire,,,0,1900-1-1,NOT RATED,,,,0
68604,68604,A_0830,B_1102,Married with Children,Comedy,81,1900-1-1,TV-PG,,Ron Leavitt,Embassy Television,,,0,1900-1-1,NOT RATED,,,,0
69927,69927,A_0842,B_1038,The O.C.,Comedy,75,1900-1-1,TV-PG,,Josh Schwartz,Wonderland Sound and Vision,The Steps,Drama,33,1900-1-1,NOT RATED,Andrew Currie,Robyn Harding,,0
70449,70449,A_0850,B_0324,Line of Duty,Drama,85,1900-1-1,NOT RATED,,Jed Mercurio,BBC Drama Productions,Cult of Chucky,Horror,82,1900-1-1,R,Don Mancini,Don Mancini,,0
71462,71462,A_0866,B_1102,Dark Matter,Mystery,75,1900-1-1,TV-14,,Joseph Mallozzi,Blue Penguin,,,0,1900-1-1,NOT RATED,,,,0
71579,71579,A_0867,B_0129,The Night Manager,Drama,82,1900-1-1,TV-14,,,The Ink Factory,The Polka King,Drama,59,1900-1-1,NOT RATED,Maya Forbes,Maya Forbes,Netflix,0
71626,71626,A_0867,B_0830,The Night Manager,Drama,82,1900-1-1,TV-14,,,The Ink Factory,The Ivory Game,Documentary,80,1900-1-1,NOT RATED,Richard Ladkani,,,0
71836,71836,A_0868,B_1102,The Disappearance,Drama,74,1900-1-1,NOT RATED,,,Productions Casablanca,,,0,1900-1-1,NOT RATED,,,,0
