Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genre,ltable_Score,ltable_Release Date,ltable_Rating,ltable_Directed By,ltable_Written By,ltable_Studio,rtable_Title,rtable_Genre,rtable_Score,rtable_Release Date,rtable_Rating,rtable_Directed By,rtable_Written By,rtable_Studio,label
764,764,A_1107,B_0086,I Now Pronounce You Chuck & Larry,Comedy;Romance,60,2007-07-20,PG-13,Dennis Dugan,Alexander Payne;Barry Fanaro,Happy Madison Productions;Relativity Media;Universal Pictures,PokÃÂ©mon The Movie: I Choose You!,,43,2017-11-05,NOT RATED,,,,0
1196,1196,A_1798,B_1430,The Human Centipede II (Full Sequence),Horror,39,2011-11,NOT RATED,Tom Six,Tom Six,Six Entertainment Company,The Human Centipede III (Final Sequence),Horror,18,2015-05-22,NOT RATED,Tom Six,Tom Six,,0
1348,1348,A_2020,B_0462,Power Rangers Ninja Steel,Action;Sci-Fi,67,1900-1-1,TV-Y7,,Haim Saban;Power Rangers Story Department,SCG Power Rangers;Saban Brands,Saban's Power Rangers,Action;Adventure;Drama;Fantasy;Sci-Fi,45,2017-03-24,PG-13,Dean Israelite,Burk Sharpless;John Gatins;Kieran Mulroney;Matt Sazama;Michele Mulroney,Lionsgate Films,0
1131,1131,A_1716,B_0481,G.I. Joe: The Rise of Cobra,Action;Adventure;Sci-Fi,58,2009-08-07,PG-13,Stephen Sommers,David Elliot;Stuart Beattie,Hasbro;Paramount Pictures;Spyglass Entertainment,Norman (Norman: The Moderate Rise and Tragic Fall of a New York Fixer),Drama,89,2017-04-14,R,Joseph Cedar,Joseph Cedar,Sony Pictures Classics,0
30,30,A_0047,B_2127,Ash vs Evil Dead,Action;Comedy;Fantasy,85,1900-1-1,TV-MA,,Ivan Raimi;Sam Raimi;Tom Spezialy,Renaissance Pictures;Starz!,Dead Snow 2: Red vs. Dead (DÃ¸d snÃ¸ 2),Action;Adventure;Comedy;Film-Noir;Horror,83,2014-10-10,R,Tommy Wirkola,Stig Frode Henriksen;Tommy Wirkola;Vegar Hoel,Well Go USA,0
684,684,A_0974,B_0506,Before I Wake,Drama;Fantasy;Horror,62,2018-01-05,PG-13,Mike Flanagan,Jeff Howard;Mike Flanagan,Demarest Films;Intrepid Pictures;MICA Entertainment,Before I Fall,Drama,63,2017-03-03,PG-13,Ry Russo-Young,Maria Maggenti,Open Road Films,0
1154,1154,A_1731,B_2273,The Secret Life of Walter Mitty,Adventure;Comedy;Drama,73,2013-12-25,PG,Ben Stiller,Steve Conrad;Steve Conrad,Samuel Goldwyn Films;TSG Entertainment;Twentieth Century Fox,Which Way Is the Front Line from Here? The Life and Times of Tim Hetherington,Documentary,100,2013-04-12,NOT RATED,Sebastian Junger,,HBO Films,0
447,447,A_0664,B_1435,The Lord of the Rings: The Two Towers,Adventure;Drama;Fantasy,87,2002-12-18,PG-13,Peter Jackson,Fran Walsh;J.R.R. Tolkien,New Line Cinema;The Saul Zaentz Company;WingNut Films,Drug Lord: The Legend Of Shorty,Documentary,63,2014-03-01,NOT RATED,Angus MacQueen;Guillermo Galdos,Angus MacQueen,,0
490,490,A_0702,B_0042,The Darkest Hour,Action;Adventure;Horror,49,2011-12-25,PG-13,Chris Gorak,Jon Spaihts;Leslie Bohem,Bazelevs Production;Regency Enterprises;Summit Entertainment,Darkest Hour,Drama,85,2017-12-22,PG-13,Joe Wright,Anthony McCarten,Focus Features,0
979,979,A_1465,B_2011,Life of Pi,Adventure;Drama;Fantasy,79,2012-11-21,PG,Ang Lee,David Magee;Yann Martel,Dune Entertainment;Fox 2000 Pictures;Ingenious Media,The Book of Life,Animation;Romance,82,2014-10-17,PG,Jorge R. Gutierrez,Douglas Langdale;Jorge R. Gutierrez,20th Century Fox,0
1337,1337,A_1995,B_1100,Are You Afraid of the Dark?,Drama;Family;Fantasy,83,1900-1-1,TV-Y7,,,CINAR;Nickelodeon Network;YTV,Rise of the Legend (Huang feihong zhi yingxiong you meng ),Action;Adventure;Drama;Film-Noir,67,2016-03-11,NOT RATED,Roy Hin Yeung Chow,Chi-long To;Christine To,,0
1771,1771,A_2724,B_2009,Justice League,Action;Adventure;Animation,86,1900-1-1,TV-PG,,Bob Kane;Joe Shuster;William Moulton Marston,DC Comics;Warner Bros.;Warner Bros. Animation,Justice League: Throne Of Atlantis,Action;Adventure;Animation,40,1900-1-1,PG-13,Ethan Spaulding,Heath Corson,Warner Home Video,0
1904,1904,A_2939,B_0860,I Am the Pretty Thing That Lives in the House,Horror;Thriller,46,2016-10-28,NOT RATED,Oz Perkins,Oz Perkins,Go Insane Films;Paris Film;Zed Filmworks,I Am the Pretty Thing That Lives in the House,Drama;Horror;Mystery;Thriller,60,2016-10-28,NOT RATED,Oz Perkins,Oz Perkins,,1
278,278,A_0424,B_0268,The Dark Tower,Action;Adventure;Fantasy,57,2017-08-04,PG-13,Nikolaj Arcel,Akiva Goldsman;Jeff Pinkner,Imagine Entertainment;Media Rights Capital (MRC);Sony Pictures Entertainment (SPE),The Dark Tower,Fantasy;Horror;Sci-Fi;Western,16,2017-08-04,PG-13,Nikolaj Arcel,Akiva Goldsman;Anders Thomas Jensen;Jeff Pinkner;Nikolaj Arcel,,1
1835,1835,A_2864,B_2546,Close Encounters of the Third Kind,Drama;Sci-Fi,77,1977-12-14,PG,Steven Spielberg,Steven Spielberg,EMI Films;EMI Films;Julia Phillips and Michael Phillips Productions,The Right Kind of Wrong,Comedy;Romance,12,2014-03-14,R,Jeremiah S. Chechik,Megan Martin,Magnolia Pictures,0
89,89,A_0165,B_0090,When We First Met,Comedy;Fantasy;Romance,64,2018-02-09,TV-14,Ari Sandel,John Whittington,Footprint Features;MXN Entertainment;Wonderland Sound and Vision,When We First Met,Comedy;Romance,35,2018-02-09,NOT RATED,Ari Sandel,John Whittington,,1
755,755,A_1088,B_2452,Can You Ever Forgive Me?,Comedy;Documentary;Drama,0,2018-10-19,R,Marielle Heller,Lee Israel;Nicole Holofcener,Fox Searchlight Pictures,Will You Still Love Me Tomorrow?,Romance,80,2014-01-17,NOT RATED,Arvin Chen,Arvin Chen,Film Movement,0
1451,1451,A_2211,B_0502,John Wick: Chapter 3,Action;Thriller,0,2019-05-17,NOT RATED,Chad Stahelski,Derek Kolstad,Lionsgate;Thunder Road Pictures,John Wick: Chapter 2,Action;Adventure;Drama,89,2017-02-10,R,Chad Stahelski,Derek Kolstad,Summit Entertainment,0
27,27,A_0043,B_1992,Guardians of the Galaxy Vol. 2,Action;Adventure;Sci-Fi,77,2017-05-05,PG-13,James Gunn,Dan Abnett;James Gunn,Marvel Studios;Walt Disney Pictures,ABCs of Death 2,Horror,77,2014-10-31,NOT RATED,Ahron Keshales;Alejandro BruguÃ©s;Alexandre Bustillo;Bill Plympton;Bruno Samper;Chris Nash;Dennison Ramalho;Erik Matti;Evan Katz;Hajime Ohata;Jen Soska;Jerome Sable;Jim Hosking;Juan MartÃ­nez Moreno;Julian Barratt;Julian Gilbey;Julien Maury;Kristina Buozyte;Lancelot Oduwa Imasuen;Larry Fessenden;Marvin Kren;Navot Papushado;Rob Boocheck;Robert Morgan;Rodney Ascher;Steven Kostanski;Sylvia Soska;SÃ´ichi Umezawa;Todd Rohal;Vincenzo Natali,,Magnet Releasing,0
1098,1098,A_1646,B_2374,Blended,Comedy;Romance,65,2014-05-23,PG-13,Frank Coraci,Clare Sera;Ivan Menchell,Gulfstream Pictures;Happy Madison Productions;Karz Entertainment,Blended,Comedy,14,2014-05-23,PG-13,Frank Coraci,Clare Sera;Ivan Menchell,Warner Bros. Pictures,1
913,913,A_1375,B_0148,The Man Who Invented Christmas,Comedy;Documentary;Drama,70,2017-11-22,PG,Bharat Nalluri,Charles Dickens;Susan Coyne,"Mazur / Kaplan Company;Mob Film Company, The;Parallel Films",Mark Felt: The Man Who Brought Down the White House,Drama,36,2017-09-29,PG-13,Peter Landesman,Peter Landesman,Sony Pictures Classics,0
172,172,A_0281,B_1435,King Arthur: Legend of the Sword,Action;Adventure;Drama,68,2017-05-12,PG-13,Guy Ritchie,Guy Ritchie;Joby Harold,Village Roadshow Pictures;Warner Bros.;Weed Road Pictures,Drug Lord: The Legend Of Shorty,Documentary,63,2014-03-01,NOT RATED,Angus MacQueen;Guillermo Galdos,Angus MacQueen,,0
221,221,A_0376,B_1147,Star Wars: The Force Awakens,Action;Adventure;Fantasy,80,2015-12-18,PG-13,J.J. Abrams,J.J. Abrams;Lawrence Kasdan,Bad Robot;Lucasfilm;Truenorth Productions,Star Wars: Episode VII - The Force Awakens,Action;Adventure;Fantasy;Sci-Fi,93,2015-12-18,PG-13,J.J. Abrams,J.J. Abrams;Lawrence Kasdan;Michael Arndt,Walt Disney Pictures,0
551,551,A_0772,B_0720,Star vs. the Forces of Evil,Adventure;Animation;Comedy,82,1900-1-1,TV-Y7,,Daron Nefcy;David Wasson;Jordana Arkin,Daron Nefcy Productions;Disney Television Animation;Disney XD,Ouija: Origin of Evil,Horror;Mystery;Thriller,82,2016-10-21,PG-13,Mike Flanagan,Jeff Howard;Mike Flanagan,Universal Pictures,0
1978,1978,A_3031,B_1923,Horrible Bosses,Comedy,69,2011-07-08,R,Seth Gordon,John Francis Daley;Michael Markowitz,New Line Cinema;Rat Entertainment,Horrible Bosses 2,Comedy,34,2014-11-26,R,Sean Anders,John Morris (XIX);Jonathan Goldstein;Sean Anders,Warner Bros. Pictures,0
1389,1389,A_2100,B_0300,Night of the Living Dead,Horror,79,1968-10-04,NOT RATED,George A. Romero,George A. Romero;John A. Russo,Image Ten;Laurel Group;Market Square Productions,Pirates of the Caribbean: Dead Men Tell No Tales,Action;Adventure;Drama,30,2017-05-26,PG-13,Espen Sandberg;Joachim RÃÂ¸nning,Jeff Nathanson,Walt Disney Pictures,0
126,126,A_0244,B_0243,Call Me by Your Name,Drama;Romance,80,2018-01-19,R,Luca Guadagnino,Andr� Aciman;James Ivory,Frenesy Film Company;La Cin�facture;RT Features,Your Name. (Kimi No Na Wa.),Animation;Drama;Romance,97,2017-04-07,PG,Makoto Shinkai,Makoto Shinkai,FUNimation Films,0
1707,1707,A_2675,B_0064,Night at the Museum: Secret of the Tomb,Adventure;Comedy;Family,62,2014-12-19,PG,Shawn Levy,David Guion;Michael Handelman,1492 Pictures;21 Laps Entertainment;Twentieth Century Fox,7 Guardians of the Tomb,Action;Adventure,0,2018-02-23,NOT RATED,Kimble Rendall,Kimble Rendall;Paul Staheli,,0
1621,1621,A_2547,B_2929,City of God,Drama,86,2004-02-13,R,Fernando Meirelles;Kátia Lund,Bráulio Mantovani;Paulo Lins,Globo Filmes;O2 Filmes;VideoFilmes,The Mortal Instruments: City of Bones,Action;Adventure;Drama;Fantasy;Sci-Fi,13,2013-08-21,PG-13,Harald Zwart,I. Marlene King;Jessica Postigo Paquette,Sony Pictures,0
1828,1828,A_2844,B_1177,The Hangover Part II,Comedy;Mystery,65,2011-05-26,R,Todd Phillips,Craig Mazin;Scot Armstrong,Green Hat Films;Legendary Entertainment;Warner Bros.,The Decline of Western Civilization Part II: The Metal Years1988,Documentary;Musical,86,1988-06-17,R,Penelope Spheeris,,,0
567,567,A_0808,B_0382,Queen of the South,Action;Drama,77,1900-1-1,TV-14,,Joshua John Miller;M.A. Fortin,Frequency Films;Friendly Films (II);Origen Producciones Cinematograficas S.A.,The Queen of Spain (La reina de EspaÃÂ±a),Comedy;Drama;Film-Noir,29,2017-08-18,NOT RATED,Fernando Trueba,Fernando Trueba,,0
375,375,A_0555,B_0064,7 Guardians of the Tomb,Action;Adventure,49,2018-02-23,TV-MA,Kimble Rendall,Gary Hamilton;Jonathan Scanlon,Nest Holdings;Sleeping Otters Productions,7 Guardians of the Tomb,Action;Adventure,0,2018-02-23,NOT RATED,Kimble Rendall,Kimble Rendall;Paul Staheli,,1
16,16,A_0019,B_1082,La casa de papel,Action;Mystery,88,1900-1-1,TV-MA,,�lex Pina,Vancouver Media,The Golden Dream (La Jaula De Oro),Drama;Film-Noir,88,2015-09-04,NOT RATED,,,Double Exposure,0
1579,1579,A_2467,B_2790,A Nightmare on Elm Street 3: Dream Warriors,Action;Fantasy;Horror,66,1987-02-27,R,Chuck Russell,Bruce Wagner;Wes Craven,Heron Communications;New Line Cinema;Smart Egg Pictures,Never Sleep Again: The Elm Street Legacy (2010),Documentary;Musical;Television,100,2010-01-01,NOT RATED,Andrew Kasch;Daniel Farrands,Thommy Hutson,Image Entertainment,0
734,734,A_1058,B_0699,Nocturnal Animals,Drama;Romance,75,2016-12-09,R,Tom Ford,Austin Wright;Tom Ford,Artina Films;Fade to Black Productions;Focus Features,Nocturnal Animals,Drama;Mystery;Thriller,73,2016-12-09,R,Tom Ford (VIII),Tom Ford (VIII),,1
1215,1215,A_1812,B_2788,Justice League Unlimited,Action;Adventure;Animation,89,1900-1-1,NOT RATED,,Jack Kirby,DC Comics;Warner Bros. Animation,Justice League: War,Action;Adventure;Animation,50,1900-1-1,PG-13,Jay Oliva,Heath Corson,,0
608,608,A_0886,B_2582,Her,Drama;Romance;Sci-Fi,80,2014-01-10,R,Spike Jonze,Spike Jonze,Annapurna Pictures,Her,Drama;Fantasy;Romance;Sci-Fi,94,2013-12-18,R,Spike Jonze,Spike Jonze,Warner Bros. Pictures,1
52,52,A_0080,B_1992,The Death of Stalin,Comedy,72,2018-03-09,R,Armando Iannucci,Armando Iannucci;David Schneider,Gaumont;Main Journey;Quad Productions,ABCs of Death 2,Horror,77,2014-10-31,NOT RATED,Ahron Keshales;Alejandro BruguÃ©s;Alexandre Bustillo;Bill Plympton;Bruno Samper;Chris Nash;Dennison Ramalho;Erik Matti;Evan Katz;Hajime Ohata;Jen Soska;Jerome Sable;Jim Hosking;Juan MartÃ­nez Moreno;Julian Barratt;Julian Gilbey;Julien Maury;Kristina Buozyte;Lancelot Oduwa Imasuen;Larry Fessenden;Marvin Kren;Navot Papushado;Rob Boocheck;Robert Morgan;Rodney Ascher;Steven Kostanski;Sylvia Soska;SÃ´ichi Umezawa;Todd Rohal;Vincenzo Natali,,Magnet Releasing,0
1342,1342,A_2001,B_1783,Blackhat,Drama;Mystery,54,2015-01-16,R,Michael Mann,Morgan Davis Foehl,Forward Pass;Legendary Entertainment,Blackhat,Action;Adventure;Drama,33,2015-01-16,R,Michael Mann,Michael Mann;Morgan Davis Foehl,Universal Studios,1
427,427,A_0648,B_1243,Spectre,Action;Adventure;Thriller,68,2015-11-06,PG-13,Sam Mendes,John Logan;Neal Purvis,B24;Columbia Pictures;Danjaq,Spectre,Action;Adventure,63,2015-11-06,PG-13,Sam Mendes,Ian Fleming (II);John Logan;Neal Purvis;Robert Wade,Sony Pictures,1
281,281,A_0431,B_1459,What We Do in the Shadows,Comedy;Horror,76,2015-02-13,R,Jemaine Clement;Taika Waititi,Jemaine Clement;Taika Waititi,Defender Films;Funny or Die;Unison Films,What We Did on Our Holiday,Comedy,73,2015-07-10,PG-13,Andy Hamilton;Guy Jenkin,Andy Hamilton;Guy Jenkin,Lionsgate Films,0
