,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genre,ltable_Score,ltable_Rating,rtable_Title,rtable_Genre,rtable_Score,rtable_Rating,label
15875,15875,A_0143,B_0681,Once Upon a Time,Adventure;Fantasy;Romance,78,TV-PG,Girlfriend's Day,Comedy,20,NOT RATED,0
16220,16220,A_0149,B_2592,Lucifer,Drama;Fantasy,82,TV-14,The Patrol,Action;Adventure;Drama,64,NOT RATED,0
16253,16253,A_0150,B_0129,The Magicians,Drama;Fantasy,75,TV-14,The Polka King,Comedy;Drama,59,NOT RATED,0
16864,16864,A_0162,B_0444,Britannia,Action;Drama;Fantasy,66,TV-MA,Message from the King,Drama;Mystery;Thriller,43,R,0
18399,18399,A_0184,B_2898,Grimm,Drama;Fantasy;Horror,78,TV-14,The Seasoning House,Action;Adventure;Drama;Horror,21,NOT RATED,0
18938,18938,A_0201,B_1535,Family Guy,Animation;Comedy,82,TV-14,The Editor,Horror,55,NOT RATED,0
18947,18947,A_0201,B_1668,Family Guy,Animation;Comedy,82,TV-14,Elimination Game (Turkey Shoot),Action;Adventure;Film-Noir,20,NOT RATED,0
20271,20271,A_0218,B_1038,Futurama,Animation;Comedy;Sci-Fi,85,TV-14,The Steps,Comedy;Drama;Film-Noir,33,NOT RATED,0
21177,21177,A_0225,B_0681,Attack on Titan,Action;Adventure;Animation,88,TV-14,Girlfriend's Day,Comedy,20,NOT RATED,0
21320,21320,A_0227,B_0428,The Boss Baby,Animation;Comedy;Family,63,PG,The Boss Baby,Animation;Comedy;Family,52,PG,1
22153,22153,A_0243,B_0196,American Crime Story,Documentary;Drama,85,TV-MA,The Crucifixion,Horror,0,R,0
22206,22206,A_0243,B_0926,American Crime Story,Documentary;Drama,85,TV-MA,ARQ,Drama;Fantasy;Mystery;Sci-Fi;Thriller,43,NOT RATED,0
22956,22956,A_0249,B_0832,Scandal,Drama;Thriller,78,TV-14,The 24 Hour War,Documentary,100,NOT RATED,0
23308,23308,A_0253,B_0280,Sons of Anarchy,Drama;Thriller,86,TV-MA,Daguerrotype (Le secret de la chambre noire),Drama;Fantasy;Film-Noir;Horror;Sci-Fi,46,NOT RATED,0
23666,23666,A_0255,B_0093,The Irishman,Documentary;Drama,0,NOT RATED,Hellraiser: Judgment,Horror,50,NOT RATED,0
24521,24521,A_0259,B_1547,MacGyver,Action;Adventure;Drama,51,TV-14,Bessie,Drama;Television,89,R,0
24896,24896,A_0264,B_1151,Black Lightning,Action;Drama;Sci-Fi,64,TV-14,Of Men And War,Documentary,100,NOT RATED,0
25113,25113,A_0266,B_1547,Chicago Fire,Action;Drama,79,TV-14,Bessie,Drama;Television,89,R,0
26164,26164,A_0284,B_2040,SEAL Team,Action;Documentary;Drama,68,TV-14,Big Driver,Mystery;Thriller,50,NOT RATED,0
26480,26480,A_0288,B_0925,Buffy the Vampire Slayer,Action;Drama;Fantasy,82,TV-14,The White Helmets,Documentary,100,NOT RATED,0
26973,26973,A_0290,B_2900,The Gifted,Action;Drama;Fantasy,77,TV-14,Twenty8k,Drama;Film-Noir;Mystery;Thriller,20,NOT RATED,0
27216,27216,A_0292,B_0704,Person of Interest,Action;Drama,85,TV-14,Justice League Dark,Action;Adventure;Animation;Fantasy;Sci-Fi,71,R,0
28251,28251,A_0299,B_1903,That '70s Show,Comedy;Romance,81,TV-PG,WolfCop,Comedy;Horror,63,NOT RATED,0
28385,28385,A_0301,B_0891,Life Sentence,Comedy;Drama,67,TV-PG,Amanda Knox,Documentary,84,NOT RATED,0
28910,28910,A_0304,B_0328,Black-ish,Comedy,71,TV-PG,Haunters: The Art of the Scare,Documentary;Horror,100,NOT RATED,0
29321,29321,A_0307,B_0894,The Orville,Adventure;Comedy;Drama,79,TV-14,Everlasting,Drama;Mystery;Thriller,100,NOT RATED,0
29728,29728,A_0309,B_1343,Young Sheldon,Comedy,69,TV-PG,Get Santa,Comedy;Family,77,PG,0
30072,30072,A_0313,B_0724,Gilmore Girls,Comedy;Drama,81,TV-PG,A Month Of Sundays,Comedy;Film-Noir,63,PG-13,0
31157,31157,A_0322,B_2787,Castle,Comedy;Drama,82,TV-14,Killing Kennedy,Drama,56,NOT RATED,0
33006,33006,A_0332,B_2373,Elementary,Drama;Mystery,79,TV-14,The Normal Heart,Drama;Television,94,R,0
33739,33739,A_0336,B_2073,True Blood,Drama;Fantasy;Mystery,79,TV-MA,Uncle Kent2010,Comedy;Drama,60,NOT RATED,0
36025,36025,A_0358,B_1572,Beyond,Drama;Fantasy;Mystery,72,TV-14,Hangar 10,Fantasy;Horror;Mystery;Sci-Fi;Thriller,14,NOT RATED,0
39058,39058,A_0400,B_2259,Titans,Action;Adventure;Fantasy,0,NOT RATED,Topkapi (1964),Action;Adventure;Classics;Comedy;Drama;Mystery;Thriller,90,NOT RATED,0
39076,39076,A_0400,B_2656,Titans,Action;Adventure;Fantasy,0,NOT RATED,Flowers in the Attic,Documentary;Drama,52,NOT RATED,0
41535,41535,A_0463,B_1951,Star Wars: The Clone Wars,Action;Adventure;Animation,80,TV-PG,In Your Eyes,Fantasy;Romance;Sci-Fi,61,NOT RATED,0
43326,43326,A_0500,B_1903,The Loud House,Action;Animation;Comedy,77,TV-Y7,WolfCop,Comedy;Horror,63,NOT RATED,0
43498,43498,A_0503,B_1409,Steven Universe,Action;Animation;Comedy,84,TV-PG,Mr. Dynamite: The Rise of James Brown,Documentary;Musical,100,NOT RATED,0
43990,43990,A_0508,B_0133,Phineas and Ferb,Action;Animation;Comedy,80,TV-G,Girl Flu.,Comedy;Family,100,NOT RATED,0
44958,44958,A_0518,B_0232,The Looming Tower,Drama,76,TV-MA,Rift (RÃÂ¶kkur),Drama;Mystery;Thriller,100,NOT RATED,0
44984,44984,A_0518,B_0614,The Looming Tower,Drama,76,TV-MA,Louis C.K.:,Comedy,100,NOT RATED,0
45666,45666,A_0522,B_2602,Blue Bloods,Drama,75,TV-14,Gambit,Action;Adventure;Comedy;Drama;Mystery;Thriller,17,PG-13,0
45676,45676,A_0522,B_2787,Blue Bloods,Drama,75,TV-14,Killing Kennedy,Drama,56,NOT RATED,0
47401,47401,A_0539,B_2415,Band of Brothers,Action;Documentary;Drama,95,TV-MA,Justin and the Knights of Valour,Action;Adventure;Animation;Fantasy;Film-Noir;Sci-Fi,7,PG,0
47494,47494,A_0540,B_0871,The Last Kingdom,Action;Documentary,83,TV-MA,The Siege of Jadotville,Drama,60,NOT RATED,0
47743,47743,A_0545,B_1476,24,Action;Drama,84,TV-14,Sharknado 3: Oh Hell No!,Television,36,NOT RATED,0
48631,48631,A_0558,B_0133,Glee,Comedy;Drama;Musical,67,TV-PG,Girl Flu.,Comedy;Family,100,NOT RATED,0
48795,48795,A_0558,B_2785,Glee,Comedy;Drama;Musical,67,TV-PG,Burton And Taylor,Drama,100,PG,0
48837,48837,A_0561,B_0324,Champions,Comedy,55,TV-14,Cult of Chucky,Horror,82,R,0
49157,49157,A_0562,B_2503,Frasier,Comedy,80,TV-PG,Joy Ride 3: Road Kill,Horror;Mystery;Thriller,60,R,0
49364,49364,A_0563,B_2846,The Ranch,Comedy,77,TV-MA,Kiss the Water,Documentary,87,NOT RATED,0
49724,49724,A_0568,B_2320,Saturday Night Live,Comedy;Musical,81,TV-14,Victim2011,Action;Adventure;Drama;Mystery;Thriller,38,NOT RATED,0
50093,50093,A_0571,B_2207,Crazy Ex-Girlfriend,Comedy;Musical,77,TV-14,The Forgotten Kingdom,Drama,86,NOT RATED,0
50794,50794,A_0575,B_1313,Man with a Plan,Comedy,68,TV-PG,Over Your Dead Body (Kuime),Film-Noir;Horror,43,NOT RATED,0
50891,50891,A_0576,B_0096,Fresh Off the Boat,Comedy,79,TV-PG,A Futile and Stupid Gesture,Comedy,61,NOT RATED,0
52198,52198,A_0586,B_2597,Full House,Comedy;Drama;Family,67,TV-G,Mischief Night,Comedy;Drama;Family;Mystery;Thriller,100,R,0
52791,52791,A_0592,B_0732,Arrival,Drama;Mystery;Sci-Fi,79,PG-13,The Anthropologist,Documentary,100,NOT RATED,0
53751,53751,A_0605,B_2252,Columbo,Drama;Mystery,82,TV-PG,Saving Santa,Animation;Family,20,NOT RATED,0
54729,54729,A_0612,B_2656,Dirk Gently's Holistic Detective Agency,Comedy;Mystery;Sci-Fi,84,TV-14,Flowers in the Attic,Documentary;Drama,52,NOT RATED,0
55449,55449,A_0623,B_1572,Agatha Christie's Poirot,Drama;Mystery,86,TV-14,Hangar 10,Fantasy;Horror;Mystery;Sci-Fi;Thriller,14,NOT RATED,0
55513,55513,A_0623,B_2815,Agatha Christie's Poirot,Drama;Mystery,86,TV-14,Antisocial,Horror,0,R,0
56498,56498,A_0635,B_0119,Star Trek: Deep Space Nine,Action;Adventure;Drama,79,TV-PG,Victor Crowley,Comedy;Horror,44,NOT RATED,0
56546,56546,A_0635,B_0804,Star Trek: Deep Space Nine,Action;Adventure;Drama,79,TV-PG,The Lost Bladesman (Guan yun chang)2011,Action;Adventure;Film-Noir,57,NOT RATED,0
56695,56695,A_0637,B_0030,The Last Ship,Action;Drama;Sci-Fi,75,TV-14,The Outsider,Drama;Mystery;Thriller,22,NOT RATED,0
57019,57019,A_0640,B_2009,Star Trek,Action;Adventure;Sci-Fi,83,TV-PG,Justice League: Throne Of Atlantis,Action;Adventure;Animation,40,PG-13,0
58183,58183,A_0697,B_2442,Fortitude,Drama;Horror;Mystery,74,TV-MA,Endless Love1981,Drama;Romance,25,R,0
61341,61341,A_0747,B_2040,Boku no Hero Academia,Action;Animation;Comedy,84,TV-14,Big Driver,Mystery;Thriller,50,NOT RATED,0
61761,61761,A_0754,B_2785,The Fairly OddParents,Animation;Comedy;Family,72,TV-PG,Burton And Taylor,Drama,100,PG,0
62632,62632,A_0769,B_1264,Robot Chicken,Animation;Comedy;Sci-Fi,78,TV-MA,Marshland (La isla mÃÂ­nima),Film-Noir;Mystery;Thriller,91,NOT RATED,0
63653,63653,A_0778,B_2592,Call the Midwife,Drama,84,TV-PG,The Patrol,Action;Adventure;Drama,64,NOT RATED,0
64071,64071,A_0782,B_0133,Better Call Saul,Drama,87,TV-MA,Girl Flu.,Comedy;Family,100,NOT RATED,0
64188,64188,A_0782,B_1854,Better Call Saul,Drama,87,TV-MA,Batman Vs. Robin,Action;Adventure;Animation,100,PG-13,0
65097,65097,A_0795,B_0804,Tabula Rasa,Thriller,82,TV-MA,The Lost Bladesman (Guan yun chang)2011,Action;Adventure;Film-Noir,57,NOT RATED,0
65577,65577,A_0803,B_1719,The Brave,Action;Drama;Thriller,75,TV-14,Der Samurai,Fantasy;Horror;Mystery;Sci-Fi;Thriller,100,NOT RATED,0
65738,65738,A_0805,B_1143,Into the Badlands,Action;Adventure;Drama,81,TV-14,Special Correspondents,Comedy,16,NOT RATED,0
66472,66472,A_0811,B_0894,Battlestar Galactica,Action;Adventure;Drama,87,TV-14,Everlasting,Drama;Mystery;Thriller,100,NOT RATED,0
67301,67301,A_0820,B_1630,2 Broke Girls,Comedy,67,TV-14,Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,Documentary,100,NOT RATED,0
67422,67422,A_0821,B_0704,Californication,Comedy;Drama,83,TV-MA,Justice League Dark,Action;Adventure;Animation;Fantasy;Sci-Fi,71,R,0
67425,67425,A_0821,B_0738,Californication,Comedy;Drama,83,TV-MA,Roger Corman's Death Race 2050,Action;Adventure,100,R,0
67499,67499,A_0821,B_1796,Californication,Comedy;Drama,83,TV-MA,A Few Best Men,Comedy,15,NOT RATED,0
70224,70224,A_0846,B_0165,Jersey Shore,Comedy;Drama;Television,35,TV-14,Shock Wave,Action;Adventure;Film-Noir,83,NOT RATED,0
70375,70375,A_0846,B_2531,Jersey Shore,Comedy;Drama;Television,35,TV-14,No Clue,Comedy,40,NOT RATED,0
72006,72006,A_0870,B_1102,Under the Dome,Drama;Mystery;Sci-Fi,67,TV-14,,,0,NOT RATED,0
73033,73033,A_0882,B_1980,Rizzoli & Isles,Drama;Mystery,76,NOT RATED,The Year Dolly Parton Was My Mom2011,Comedy;Drama,40,NOT RATED,0
73279,73279,A_0884,B_2788,Suicide Squad 2,Action;Adventure;Fantasy,0,NOT RATED,Justice League: War,Action;Adventure;Animation,50,PG-13,0
73739,73739,A_0894,B_0421,Future Man,Action;Comedy;Sci-Fi,80,TV-MA,Naked,Comedy;Romance,0,NOT RATED,0
73972,73972,A_0907,B_0280,Star Trek: Enterprise,Action;Adventure;Drama,75,TV-PG,Daguerrotype (Le secret de la chambre noire),Drama;Fantasy;Film-Noir;Horror;Sci-Fi,46,NOT RATED,0
74297,74297,A_0910,B_2447,Frontier,Adventure,72,TV-MA,Vinyl,Comedy,60,NOT RATED,0
74645,74645,A_0916,B_1509,Mighty Morphin Power Rangers,Action;Adventure;Family,64,TV-Y7,Lyle,Drama;Horror,100,NOT RATED,0
74812,74812,A_0921,B_0871,Kevin (Probably) Saves the World,Comedy;Drama;Fantasy,78,TV-14,The Siege of Jadotville,Drama,60,NOT RATED,0
74874,74874,A_0921,B_1756,Kevin (Probably) Saves the World,Comedy;Drama;Fantasy,78,TV-14,Li'l Quinquin,Drama,100,NOT RATED,0
75243,75243,A_0925,B_1529,Good Omens,Comedy;Fantasy,0,NOT RATED,The Last Impresario,Documentary,93,NOT RATED,0
75489,75489,A_0926,B_2602,Angel,Action;Drama;Fantasy,80,TV-14,Gambit,Action;Adventure;Comedy;Drama;Mystery;Thriller,17,PG-13,0
75595,75595,A_0945,B_2950,The Purge,Horror;Sci-Fi;Thriller,57,R,Violet & Daisy,Action;Adventure;Drama;Mystery;Thriller,22,R,0
75677,75677,A_0950,B_0894,The Mist,Drama;Horror;Sci-Fi,54,TV-14,Everlasting,Drama;Mystery;Thriller,100,NOT RATED,0
77601,77601,A_1003,B_2353,King of the Hill,Animation;Comedy;Drama,73,TV-PG,When I Saw You,Drama,100,NOT RATED,0
77893,77893,A_1006,B_0832,Elena of Avalor,Adventure;Animation;Family,67,TV-Y,The 24 Hour War,Documentary,100,NOT RATED,0
78832,78832,A_1024,B_0476,"Scooby Doo, Where Are You!",Animation;Comedy;Family,79,TV-G,Love at First Child (Ange et Gabrielle),Comedy;Film-Noir,50,NOT RATED,0
79328,79328,A_1030,B_2257,My Little Pony: Friendship Is Magic,Adventure;Animation;Comedy,77,TV-Y,See No Evil 2,Horror,60,R,0
79797,79797,A_1042,B_0695,Gossip Girl,Drama;Romance,74,TV-14,Nerdland,Drama,27,NOT RATED,0
79800,79800,A_1042,B_0716,Gossip Girl,Drama;Romance,74,TV-14,Imperial Dreams,Drama,91,NOT RATED,0
79896,79896,A_1042,B_2246,Gossip Girl,Drama;Romance,74,TV-14,Mystery Road,Mystery;Thriller,91,NOT RATED,0
80790,80790,A_1050,B_1028,The Royals,Drama,75,TV-14,Lucky Stiff,Comedy;Musical,40,NOT RATED,0
81291,81291,A_1056,B_0068,Gomorra: La serie,Drama;Thriller,87,TV-MA,Red Dog: True Blue,Drama;Family,100,NOT RATED,0
81439,81439,A_1056,B_2279,Gomorra: La serie,Drama;Thriller,87,TV-MA,Wolf,Action;Adventure;Documentary;Drama;Mystery;Thriller,67,NOT RATED,0
82163,82163,A_1082,B_0119,Everybody Loves Raymond,Comedy,71,TV-PG,Victor Crowley,Comedy;Horror,44,NOT RATED,0
82927,82927,A_1088,B_0934,Can You Ever Forgive Me?,Comedy;Documentary;Drama,0,R,Me Before You,Drama,56,PG-13,0
83443,83443,A_1091,B_2040,Episodes,Comedy,78,TV-MA,Big Driver,Mystery;Thriller,50,NOT RATED,0
83715,83715,A_1093,B_0476,Entourage,Comedy;Drama,85,TV-MA,Love at First Child (Ange et Gabrielle),Comedy;Film-Noir,50,NOT RATED,0
83860,83860,A_1093,B_2851,Entourage,Comedy;Drama,85,TV-MA,Nativity!2009,Comedy,46,PG,0
84134,84134,A_1095,B_1129,Still Game,Comedy,90,NOT RATED,Theory of Obscurity: A Film About the Residents,Documentary,75,NOT RATED,0
84678,84678,A_1103,B_0595,One Day at a Time,Comedy,82,TV-PG,The Discovery,Drama;Fantasy;Romance;Sci-Fi,45,NOT RATED,0
85222,85222,A_1113,B_0068,Atypical,Comedy;Drama,83,TV-MA,Red Dog: True Blue,Drama;Family,100,NOT RATED,0
85434,85434,A_1117,B_0328,The Following,Drama;Mystery,75,TV-14,Haunters: The Art of the Scare,Documentary;Horror,100,NOT RATED,0
86756,86756,A_1130,B_0360,Mosaic,Drama;Mystery,64,TV-MA,Jerry Before Seinfeld,Comedy,92,NOT RATED,0
88456,88456,A_1150,B_0284,American Vandal,Comedy;Mystery,82,TV-MA,Newness,Drama,69,NOT RATED,0
88460,88460,A_1150,B_0319,American Vandal,Comedy;Mystery,82,TV-MA,Sharknado 5: Global Swarming,Fantasy;Horror;Sci-Fi;Television,33,NOT RATED,0
89428,89428,A_1188,B_1175,Misfits,Comedy;Drama;Fantasy,83,TV-MA,Hush,Horror,94,R,0
90707,90707,A_1264,B_0479,Guardians of the Galaxy,Action;Adventure;Animation,76,TV-Y7,Correspondence (La corrispondenza),Drama;Film-Noir;Romance,14,NOT RATED,0
91203,91203,A_1269,B_2442,Nanatsu no taizai,Action;Adventure;Animation,82,TV-14,Endless Love1981,Drama;Romance,25,R,0
93206,93206,A_1306,B_0987,Sofia the First,Animation;Family;Fantasy,72,TV-Y,Guernica (Gernika),Drama,80,NOT RATED,0
95033,95033,A_1321,B_2706,The Fall,Drama;Thriller,82,TV-MA,All Stars,Comedy;Film-Noir,56,PG,0
95223,95223,A_1327,B_2353,Babylon Berlin,Documentary;Drama,85,TV-MA,When I Saw You,Drama,100,NOT RATED,0
95395,95395,A_1328,B_2040,Bloodline,Drama;Thriller,81,TV-MA,Big Driver,Mystery;Thriller,50,NOT RATED,0
97404,97404,A_1359,B_0801,Crashing,Comedy,74,TV-MA,I Am Bolt,Documentary,85,PG,0
97710,97710,A_1360,B_2706,My Name Is Earl,Comedy,78,TV-PG,All Stars,Comedy;Film-Noir,56,PG,0
98585,98585,A_1367,B_1443,Trailer Park Boys,Comedy,84,TV-MA,Cut Snake,Mystery;Thriller,67,R,0
99445,99445,A_1379,B_1742,Before I Fall,Drama;Mystery,64,PG-13,Before I Disappear,Drama,38,NOT RATED,0
100533,100533,A_1390,B_1796,NYPD Blue,Drama;Mystery,75,TV-14,A Few Best Men,Comedy,15,NOT RATED,0
102490,102490,A_1431,B_1572,Humans,Drama;Sci-Fi,80,TV-14,Hangar 10,Fantasy;Horror;Mystery;Sci-Fi;Thriller,14,NOT RATED,0
102657,102657,A_1436,B_1144,Justice League Part Two,Action;Sci-Fi,0,NOT RATED,Rhythm 'N' Bayous: A Road Map To Louisiana Music (2000),Documentary;Musical,40,NOT RATED,0
103294,103294,A_1453,B_1476,Xena: Warrior Princess,Action;Adventure;Drama,67,TV-PG,Sharknado 3: Oh Hell No!,Television,36,NOT RATED,0
103477,103477,A_1456,B_1151,Good Witch,Comedy;Drama;Fantasy,73,TV-PG,Of Men And War,Documentary,100,NOT RATED,0
103589,103589,A_1457,B_0133,Bewitched,Comedy;Family;Fantasy,76,TV-G,Girl Flu.,Comedy;Family,100,NOT RATED,0
104732,104732,A_1483,B_2999,Wonder Woman,Action;Adventure;Drama,71,TV-G,The Great Hip Hop Hoax,Documentary,86,PG-13,0
105196,105196,A_1533,B_1529,PAW Patrol,Action;Adventure;Animation,68,TV-Y,The Last Impresario,Documentary,93,NOT RATED,0
105197,105197,A_1533,B_1532,PAW Patrol,Action;Adventure;Animation,68,TV-Y,Blood Punch,Horror;Mystery;Thriller,78,NOT RATED,0
106040,106040,A_1550,B_2522,Cloudy with a Chance of Meatballs 2,Action;Adventure;Animation,64,PG,The Secret Lives Of Dorks,Comedy,13,PG-13,0
106089,106089,A_1551,B_0476,Spirit Riding Free,Adventure;Animation;Family,64,TV-Y7,Love at First Child (Ange et Gabrielle),Comedy;Film-Noir,50,NOT RATED,0
107117,107117,A_1561,B_1796,Moominvalley,Animation;Drama;Family,0,NOT RATED,A Few Best Men,Comedy,15,NOT RATED,0
107316,107316,A_1564,B_1796,JoJo's Bizarre Adventure,Action;Adventure;Animation,83,TV-MA,A Few Best Men,Comedy,15,NOT RATED,0
107529,107529,A_1565,B_2353,Rugrats,Adventure;Animation;Comedy,75,TV-G,When I Saw You,Drama,100,NOT RATED,0
107745,107745,A_1566,B_2898,The Backyardigans,Adventure;Animation;Comedy,69,TV-Y,The Seasoning House,Action;Adventure;Drama;Horror,21,NOT RATED,0
108956,108956,A_1582,B_0977,Dynasty,Drama,66,TV-14,Holding The Man,Drama,79,NOT RATED,0
109546,109546,A_1592,B_1143,Victoria,Documentary;Drama,82,TV-PG,Special Correspondents,Comedy,16,NOT RATED,0
109743,109743,A_1604,B_0602,Oz,Drama;Thriller,88,TV-MA,Sandy Wexler,Comedy,30,NOT RATED,0
109752,109752,A_1604,B_0738,Oz,Drama;Thriller,88,TV-MA,Roger Corman's Death Race 2050,Action;Adventure,100,R,0
110098,110098,A_1618,B_2700,Veep,Comedy,82,TV-MA,Day of the Flowers,Comedy;Drama;Romance,58,NOT RATED,0
110724,110724,A_1628,B_1421,Life of the Party,Comedy,0,PG-13,Winning: The Racing Life Of Paul Newman,Documentary,90,NOT RATED,0
110917,110917,A_1632,B_2898,30 Rock,Comedy,82,TV-14,The Seasoning House,Action;Adventure;Drama;Horror,21,NOT RATED,0
112036,112036,A_1645,B_1907,Top Gear,Comedy;Television,87,TV-PG,TinkerBell and the Legend of the NeverBeast,Action;Adventure;Animation;Family,74,G,0
112797,112797,A_1659,B_1151,Miami Vice,Action;Drama,75,TV-14,Of Men And War,Documentary,100,NOT RATED,0
112850,112850,A_1659,B_2069,Miami Vice,Action;Drama,75,TV-14,Viktor,Action;Adventure;Mystery;Thriller,0,NOT RATED,0
114794,114794,A_1689,B_0280,Limitless,Comedy;Drama,78,TV-14,Daguerrotype (Le secret de la chambre noire),Drama;Fantasy;Film-Noir;Horror;Sci-Fi,46,NOT RATED,0
115005,115005,A_1695,B_0444,Cloak & Dagger,Action;Adventure;Drama,68,NOT RATED,Message from the King,Drama;Mystery;Thriller,43,R,0
115033,115033,A_1695,B_0862,Cloak & Dagger,Action;Adventure;Drama,68,NOT RATED,Orange Sunshine,Action;Adventure;Documentary,100,NOT RATED,0
115800,115800,A_1709,B_0319,Babylon 5,Action;Adventure;Drama,83,NOT RATED,Sharknado 5: Global Swarming,Fantasy;Horror;Sci-Fi;Television,33,NOT RATED,0
116595,116595,A_1735,B_2999,H2O: Just Add Water,Adventure;Drama;Family,72,TV-PG,The Great Hip Hop Hoax,Documentary,86,PG-13,0
116920,116920,A_1772,B_0724,Outcast,Drama;Horror,75,TV-MA,A Month Of Sundays,Comedy;Film-Noir,63,PG-13,0
117092,117092,A_1774,B_0328,Dominion,Action;Drama;Fantasy,68,TV-MA,Haunters: The Art of the Scare,Documentary;Horror,100,NOT RATED,0
117876,117876,A_1795,B_0681,Blood Drive,Action;Adventure;Comedy,73,TV-MA,Girlfriend's Day,Comedy,20,NOT RATED,0
118307,118307,A_1805,B_1004,The Boondocks,Action;Animation;Comedy,84,TV-MA,No Men Beyond This Point,Comedy;Drama;Fantasy;Film-Noir;Sci-Fi,43,NOT RATED,0
118566,118566,A_1808,B_1980,The Ancient Magus' Bride,Animation;Fantasy,82,NOT RATED,The Year Dolly Parton Was My Mom2011,Comedy;Drama,40,NOT RATED,0
118688,118688,A_1811,B_0925,The Avengers: Earth's Mightiest Heroes,Action;Animation;Family,83,TV-Y7,The White Helmets,Documentary,100,NOT RATED,0
119052,119052,A_1815,B_0704,Space Jam 2,Adventure;Animation;Comedy,0,NOT RATED,Justice League Dark,Action;Adventure;Animation;Fantasy;Sci-Fi,71,R,0
119400,119400,A_1817,B_0298,Disenchanted,Adventure;Animation;Comedy,0,NOT RATED,Patton Oswalt: Annihilation,Comedy,100,NOT RATED,0
120885,120885,A_1834,B_2993,Boruto: Naruto Next Generations,Action;Adventure;Animation,79,NOT RATED,Clear History,Comedy,55,NOT RATED,0
123343,123343,A_1865,B_1980,Bosch,Drama,83,TV-MA,The Year Dolly Parton Was My Mom2011,Comedy;Drama,40,NOT RATED,0
123509,123509,A_1868,B_1547,The Path,Drama,74,TV-MA,Bessie,Drama;Television,89,R,0
123837,123837,A_1874,B_0788,Chicago Med,Drama,75,TV-14,Oddball and the Penguins (Oddball),Action;Adventure;Family;Film-Noir,86,NOT RATED,0
124479,124479,A_1903,B_0595,Knight Rider,Action;Drama,69,TV-PG,The Discovery,Drama;Fantasy;Romance;Sci-Fi,45,NOT RATED,0
124670,124670,A_1909,B_0548,Crossing Lines,Action;Drama,74,NOT RATED,Mommy Dead and Dearest,Documentary,100,NOT RATED,0
